Matria,Paola Miglio,9,"Cocina de autor con enfoque femenino. El arroz meloso con mariscos fue sublime.","Arroz meloso con mariscos","Surquillo","Fusión"
Matria,Yo Madre,8,"Ambiente cálido y platos delicados. El tartar de trucha fue fresco y bien logrado.","Tartar de trucha","Surquillo","Fusión"
Matria,Atodocomer,9,"Creatividad y técnica en cada plato. El ravioli de zapallo loche fue el más sorprendente.","Ravioli de zapallo loche","Surquillo","Fusión"
Baan,Vicente Visla,9,"Auténtica comida tailandesa en Lima. El pad thai fue equilibrado y sabroso.","Pad thai","San Isidro","India"
Baan,Antojaddos,8,"Decoración exótica y platos intensos. El curry rojo con langostinos fue potente.","Curry rojo con langostinos","San Isidro","India"
Baan,Elfoodieloo,9,"Una experiencia distinta. El arroz jazmín con pollo al lemongrass fue delicioso.","Arroz jazmín con pollo al lemongrass","San Isidro","India"
Cosme,Paola Miglio,8,"Cocina urbana con ingredientes locales. El arroz con pato fue el plato estrella.","Arroz con pato","San Isidro","Fusión"
Cosme,Yo Madre,9,"Ambiente juvenil y platos creativos. El bao de panceta fue espectacular.","Bao de panceta","San Isidro","Fusión"
Cosme,Atodocomer,8,"Ideal para brunch o cena informal. El tiradito de mango fue refrescante y original.","Tiradito de mango","San Isidro","Fusión"
Fu-Man-Chu,Giacomo Bocchio,7,"El Siu Mai tiene un sabor agradable pero se aleja de la tradición cantonesa, más parecido a una hamburguesita que a un clásico dim sum.","Siu Mai","Surquillo","Chifa criollo"
Fu-Man-Chu,iOA,6,"El sabor no refleja la esencia del chifa tradicional. El chaufa parece más criollo que oriental, aunque los wantanes fueron generosos.","Chaufa especial","Surquillo","Chifa criollo"
Fu-Man-Chu,Provecho EC,8,"Platos creativos con nombres llamativos. El Kamlu Wantan destaca por su mezcla de proteínas y salsa de tamarindo con piña.","Kamlu Wantan","Surquillo","Chifa criollo"
Nombre,Autor,Calificacion,Review,Plato-estrella,Distrito,Tipo_comida
El Colorado,Cholo Mena,9,"Un ceviche con queso que sorprende, fresco y contundente, ideal para el hambre del Callao.","Ceviche con queso","Callao","Pescados y mariscos"
Buche,Cholo Mena,8,"El pan con chicharrón huachano es una bomba de sabor, crocante y jugoso.","Pan con chicharrón huachano","Breña","Desayuno peruano"
El Tronco,Cholo Mena,9,"Platos gigantes y sabor casero. El lomo saltado tiene buen fuego y sazón.","Lomo saltado","San Juan de Miraflores","Criollo"
Sarita Colonia,Cholo Mena,8,"Anticucho de pulpo con estilo, ambiente alternativo y buena vibra.","Anticucho de pulpo","Centro de Lima","Fusión peruana"
La Panka,Cholo Mena,7,"Pollo a la brasa correcto, buen sabor pero nada fuera de lo común.","Pollo a la brasa","Jesús María","Parrilla peruana"
El Chinito,Cholo Mena,9,"Pan con chicharrón clásico, crocante, jugoso y con buen camote.","Pan con chicharrón","Centro de Lima","Desayuno criollo"
La Mar,Cholo Mena,9,"Tiradito de ají amarillo fresco, equilibrado y con buena textura.","Tiradito de ají amarillo","Miraflores","Pescados y mariscos"
El Bodegón,Cholo Mena,8,"Ají de gallina cremoso y bien sazonado, ideal para almuerzo criollo.","Ají de gallina","Miraflores","Criollo"
Isolina,Cholo Mena,9,"Seco de res con sabor de casa, porción generosa y buena sazón.","Seco de res","Barranco","Criollo"
Don Tito,Cholo Mena,8,"Pollo a la brasa jugoso, buen punto de cocción y papas crocantes.","Pollo a la brasa","Surco","Parrilla peruana"
La Lucha,Cholo Mena,8,"Pan con asado suave y sabroso, buen pan y salsa.","Pan con asado","Miraflores","Sanguchería"
El Tío Mario,Cholo Mena,9,"Anticuchos bien cocidos, con sabor intenso y buena textura.","Anticuchos","Barranco","Criollo"
El Cevichano,Cholo Mena,8,"Ceviche mixto fresco, buena porción y sabor equilibrado.","Ceviche mixto","San Miguel","Pescados y mariscos"
El Verídico de Fidel,Cholo Mena,9,"Causa de cangrejo cremosa y bien presentada, sabor marino potente.","Causa de cangrejo","San Miguel","Pescados y mariscos"
La Picantería,Cholo Mena,9,"Chupe de camarones con sabor norteño, intenso y reconfortante.","Chupe de camarones","Surquillo","Criollo norteño"
El Mercado,Cholo Mena,8,"Tiradito de conchas delicado, buena técnica y frescura.","Tiradito de conchas","Miraflores","Pescados y mariscos"
Panchita,Cholo Mena,8,"Anticucho de corazón sabroso, bien cocido y con buena salsa.","Anticucho de corazón","Miraflores","Criollo"
La Nacional,Cholo Mena,8,"Lomo saltado con papas nativas, buen fuego y presentación moderna.","Lomo saltado con papas nativas","San Isidro","Criollo moderno"
Matria,Cholo Mena,9,"Ravioli de zapallo loche suave y sabroso, técnica impecable.","Ravioli de zapallo loche","Surquillo","Fusión peruana"
Cosme,Cholo Mena,8,"Bao de panceta jugoso, pan suave y relleno potente.","Bao de panceta","San Isidro","Fusión urbana"
Baan,Cholo Mena,9,"Pad Thai bien logrado, sabor tailandés auténtico y buena porción.","Pad Thai","San Isidro","Tailandesa"
El Sabor de la Abuela,Cholo Mena,8,"Tallarines rojos con apanado como en casa, sabor nostálgico.","Tallarines rojos con apanado","Comas","Criollo casero"
El Buen Sabor,Cholo Mena,7,"Chaufa correcto, porción generosa pero sabor estándar.","Arroz chaufa","San Martín de Porres","Chifa popular"
El Tío Bigote,Cholo Mena,8,"Hamburguesa triple con buen pan y carne jugosa, ideal para romper dieta.","Hamburguesa triple","San Miguel","Americana"
El Sabor de la Selva,Cholo Mena,9,"Tacacho con cecina potente, sabor selvático auténtico.","Tacacho con cecina","San Juan de Lurigancho","Amazónica"
El Sabor Arequipeño,Cholo Mena,8,"Rocoto relleno sabroso, buena cocción y relleno jugoso.","Rocoto relleno","San Borja","Arequipeña"
El Sabor Norteño,Cholo Mena,9,"Seco de cabrito intenso, carne suave y bien sazonada.","Seco de cabrito","Independencia","Norteña"
El Sabor Limeño,Cholo Mena,8,"Tacu tacu con lomo jugoso, buen punto de cocción.","Tacu tacu con lomo","Surquillo","Criollo"
El Sabor del Callao,Cholo Mena,9,"Ceviche con chicharrón fresco y crocante, combinación ganadora.","Ceviche con chicharrón","Callao","Pescados y mariscos"
El Sabor del Altiplano,Cholo Mena,8,"Chairo caliente y sabroso, ideal para días fríos.","Chairo","Villa El Salvador","Andina"
El Sabor de la Costa,Cholo Mena,8,"Sudado de pescado con sabor casero, buena porción.","Sudado de pescado","Chorrillos","Pescados y mariscos"
El Sabor de la Sierra,Cholo Mena,9,"Pachamanca tradicional, cocción perfecta y sabor profundo.","Pachamanca","Ate","Andina"
El Sabor del Pan con Queso,Cholo Mena,7,"Pan con queso fresco, simple pero sabroso.","Pan con queso fresco","Chaclacayo","Desayuno andino"
El Sabor del Sánguche,Cholo Mena,8,"Sánguche de jamón del país jugoso, buen pan y salsa.","Sánguche de jamón del país","Jesús María","Sanguchería"
El Sabor del Chicharrón,Cholo Mena,9,"Chicharrón con camote crocante, sabor de domingo.","Chicharrón con camote","San Miguel","Desayuno criollo"
El Sabor del Pescado,Cholo Mena,8,"Leche de tigre potente, buen balance de acidez.","Leche de tigre","Callao","Pescados y mariscos"
El Sabor del Tacu Tacu,Cholo Mena,8,"Tacu tacu con apanado crocante, buen sabor y porción.","Tacu tacu con apanado","Surco","Criollo"
El Sabor del Sillao,Cholo Mena,7,"Tallarín saltado correcto, sabor clásico pero sin sorpresa.","Tallarín saltado","San Borja","Chifa criollo"
